什么,46431
哪些,37864
请问,24386
是否,20223
如何,19478
一些,15411
主要,11353
手机,10453
可以,9626
哪个,9607
列举,9349
知道,9192
品牌,8756
一下,8219
这个,8205
告诉,7904
了解,7864
中国,7768
工作,7727
使用,7533
提供,7266
汽车,6825
功能,6762
进行,6216
或者,6114
有没有,5856
领域,5787
公司,5730
角色,5461
觉得,5331
能否,5060
城市,5025
历史,5001
一个,4824
著名,4761
感到,4730
活动,4603
认为,4580
类型,4518
最近,4443
怎样,4389
黄晓明,4364
关于,4348
作品,4325
几个,4240
通常,4193
独特,4191
哪位,4175
知名,4140
电影,4059
体验,4047
今天,4042
设备,3909
具体,3887
分享,3745
包括,3647
表现,3632
通过,3616
作为,3570
任务,3476
能够,3440
发展,3397
过程,3379
信息,3295
音乐,3238
故事,3171
感觉,3137
近期,3135
具有,3133
描述,3124
特别,3112
经历,3111
歌曲,3098
非常,3059
名字,2956
推荐,2936
核心,2921
方法,2896
负责,2887
作用,2832
杯子,2820
属于,2819
职责,2791
情况,2777
说出,2718
职业,2679
方面,2679
为什么,2652
这种,2627
建议,2620
哪些方面,2543
操作,2516
影响,2493
担任,2483
技术,2471
体现,2462
制作,2449
时期,2443
特点,2418
多少,2364
以及,2363
有何,2357
称为,2352
智能手机,2317
实现,2288
是不是,2269
沈南鹏,2265
时间,2247
用于,2216
性能,2215
学习,2203
怎么样,2202
当前,2173
参与,2171
一种,2159
能力,2153
现在,2153
永平,2150
并且,2150
可能,2138
代表,2135
感受,2104
哪里,2102
特色,2098
人们,2091
个人,2081
详细,2059
水果,2054
兴趣,2037
感兴趣,2028
需要,2014
值得,2000
包含,1998
说明,1988
创立,1965
传统,1933
完成,1928
位于,1923
创作,1921
评价,1907
研究,1903
显著,1898
成就,1894
任正非,1885
帮助,1878
或是,1865
电视剧,1858
获得,1848
拥有,1848
屏幕,1847
提升,1829
市场,1828
烹饪,1827
怎么,1819
有关,1817
已经,1810
应用,1797
相关,1794
特征,1784
环境,1768
省份,1768
设计,1766
生活,1760
人物,1749
企业,1743
专业,1742
开始,1724
定义,1719
关键,1692
名称,1685
内容,1677
正在,1673
自己,1672
事件,1670
探索,1654
选择,1648
问题,1637
尝试,1633
日常,1610
产生,1603
适合,1600
构成,1598
我们,1598
文化,1595
导致,1592
用来,1581
看法,1577
方式,1576
执行,1575
状态,1573
基本,1560
广为人知,1560
创始人,1554
带来,1546
重要,1542
特性,1529
李冰冰,1519
社会,1516
系统,1513
这一,1507
